title,date,quote_text,status,url
Integrantes do governo recorrem a informações falsas para minimizar desastre no Nordeste,"29 de outubro de 2019, 15h07","No mínimo estranho o silêncio de ONGs e esquerda brasileira sobre o óleo nas praias do Nordeste. — presidente Jair Bolsonaro, em ",FALSO,https://aosfatos.org/noticias/integrantes-do-governo-recorrem-informacoes-falsas-para-minimizar-desastre-no-nordeste/
Integrantes do governo recorrem a informações falsas para minimizar desastre no Nordeste,"29 de outubro de 2019, 15h07","“...é isso que a gente tem visto aqui [no Nordeste]. Praias cheias” - ministro do Turismo, Marcelo Álvaro Antônio, em ",FALSO,https://aosfatos.org/noticias/integrantes-do-governo-recorrem-informacoes-falsas-para-minimizar-desastre-no-nordeste/
O que Lula alega ter ocorrido e o que de fato aconteceu com o Brasil entre sua prisão e sua soltura,"8 de novembro de 2019, 21h07","[Depois que eu fui preso,] (...) o povo tá passando fome.",INSUSTENTÁVEL,https://aosfatos.org/noticias/o-que-lula-alega-ter-ocorrido-e-o-que-de-fato-aconteceu-com-o-brasil-entre-sua-prisao-e-sua-soltura/
O que Lula alega ter ocorrido e o que de fato aconteceu com o Brasil entre sua prisão e sua soltura,"8 de novembro de 2019, 21h07","[Depois que eu fui preso,] (...) o povo tá desempregado",INSUSTENTÁVEL,https://aosfatos.org/noticias/o-que-lula-alega-ter-ocorrido-e-o-que-de-fato-aconteceu-com-o-brasil-entre-sua-prisao-e-sua-soltura/
O que Lula alega ter ocorrido e o que de fato aconteceu com o Brasil entre sua prisão e sua soltura,"8 de novembro de 2019, 21h07","[Depois que eu fui preso,] (...) o povo tá trabalhando de uber, o povo tá trabalhando de bicicleta pra entregar pizza.",INSUSTENTÁVEL,https://aosfatos.org/noticias/o-que-lula-alega-ter-ocorrido-e-o-que-de-fato-aconteceu-com-o-brasil-entre-sua-prisao-e-sua-soltura/
O que Lula alega ter ocorrido e o que de fato aconteceu com o Brasil entre sua prisão e sua soltura,"8 de novembro de 2019, 21h07",Ainda ontem eu vi a notícia de que não vai ter aumento do salário-mínimo por dois anos.,INSUSTENTÁVEL,https://aosfatos.org/noticias/o-que-lula-alega-ter-ocorrido-e-o-que-de-fato-aconteceu-com-o-brasil-entre-sua-prisao-e-sua-soltura/
Erros e acertos de Rodrigo Maia em entrevista à GloboNews,"26 de abril de 2019, 14h00","1. De cada 100 reais [do orçamento público], 90 reais são despesa obrigatória...",VERDADEIRO,https://aosfatos.org/noticias/erros-e-acertos-de-rodrigo-maia-em-entrevista-globonews/
Erros e acertos de Rodrigo Maia em entrevista à GloboNews,"26 de abril de 2019, 14h00","2. ...[despesas obrigatórias], que não vão para a educação.",VERDADEIRO,https://aosfatos.org/noticias/erros-e-acertos-de-rodrigo-maia-em-entrevista-globonews/
Erros e acertos de Rodrigo Maia em entrevista à GloboNews,"26 de abril de 2019, 14h00","3. Infelizmente, nós temos a sociedade hoje majoritariamente contra a reforma [da Previdência]",VERDADEIRO,https://aosfatos.org/noticias/erros-e-acertos-de-rodrigo-maia-em-entrevista-globonews/
Erros e acertos de Rodrigo Maia em entrevista à GloboNews,"26 de abril de 2019, 14h00",4. O salário do servidor público federal é 67% maior do que seu equivalente no setor privado,VERDADEIRO,https://aosfatos.org/noticias/erros-e-acertos-de-rodrigo-maia-em-entrevista-globonews/
Erros e acertos de Rodrigo Maia em entrevista à GloboNews,"26 de abril de 2019, 14h00","5. É fundamental que a gente tenha coragem também de enfrentar os incentivos que são bilionários, mais de 300 bilhões, que parte do setor privado recebe",VERDADEIRO,https://aosfatos.org/noticias/erros-e-acertos-de-rodrigo-maia-em-entrevista-globonews/
Corrente de WhatsApp mistura fato e ficção para exaltar família real brasileira,"14 de novembro de 2019, 14h11",Dom Pedro 2º tentou ao parlamento a abolição da escravatura desde 1848. Uma luta contra os poderosos fazendeiros por 40 anos.,FALSO,https://aosfatos.org/noticias/corrente-de-whatsapp-mistura-fato-e-ficcao-para-exaltar-familia-real-brasileira/
Corrente de WhatsApp mistura fato e ficção para exaltar família real brasileira,"14 de novembro de 2019, 14h11","Na casa de veraneio em Petrópolis, a princesa Isabel ajudava a esconder escravos fugidos e arrecadava numerários para alforriá-los.",FALSO,https://aosfatos.org/noticias/corrente-de-whatsapp-mistura-fato-e-ficcao-para-exaltar-familia-real-brasileira/
Corrente de WhatsApp mistura fato e ficção para exaltar família real brasileira,"14 de novembro de 2019, 14h11",Santos Dumont almoçava três vezes por semana na casa da princesa Isabel em Paris.,FALSO,https://aosfatos.org/noticias/corrente-de-whatsapp-mistura-fato-e-ficcao-para-exaltar-familia-real-brasileira/
Corrente de WhatsApp mistura fato e ficção para exaltar família real brasileira,"14 de novembro de 2019, 14h11","Pedro 2º mandou acabar com a guarda chamada Dragões da Independência por achar desperdício de dinheiro público. Com a República, a guarda voltou a existir.",FALSO,https://aosfatos.org/noticias/corrente-de-whatsapp-mistura-fato-e-ficcao-para-exaltar-familia-real-brasileira/
Corrente de WhatsApp mistura fato e ficção para exaltar família real brasileira,"14 de novembro de 2019, 14h11","Quando dom Pedro 2º do Brasil subiu ao trono, em 1840, 92% da população brasileira era analfabeta. Em seu último ano de reinado, em 1889, essa porcentagem era de 56%, devido ao seu grande incentivo a educação, a construção de faculdades e, principalmente, de inúmeras escolas que tinham como modelo o excelente Colégio Pedro 2º.",FALSO,https://aosfatos.org/noticias/corrente-de-whatsapp-mistura-fato-e-ficcao-para-exaltar-familia-real-brasileira/
Post infla dados de 2016 ao dizer que economia estava melhor que em 2019,"27 de novembro de 2019, 15h13",Em 2016 estávamos em crise:,FALSO,https://aosfatos.org/noticias/post-infla-dados-de-2016-ao-dizer-que-economia-estava-melhor-que-em-2019/
Post infla dados de 2016 ao dizer que economia estava melhor que em 2019,"27 de novembro de 2019, 15h13","Em 2019, tá tudo maravilhoso:",FALSO,https://aosfatos.org/noticias/post-infla-dados-de-2016-ao-dizer-que-economia-estava-melhor-que-em-2019/
